Generator,carrier,bus,p_nom_min,p_nom,p_nom_extendable,ramp_limit_up,ramp_limit_down,efficiency,marginal_cost,capital_cost,build_year,lifetime,control,p_nom_max,p_max_pu,weight,vom_cost,fuel_cost,heat_rate,carrier_base,land_region,p_nom_opt,type,p_nom_mod,p_min_pu,p_set,q_set,sign,marginal_cost_quadratic,committable,start_up_cost,shut_down_cost,stand_by_cost,min_up_time,min_down_time,up_time_before,down_time_before,ramp_limit_start_up,ramp_limit_shut_down
p1 biomass,biomass,p1,37.0,37.0,False,1.0,1.0,0.3576081081081081,1.805862459497039,412936.124,2007,30.000000000000004,Slack,inf,1.0,5.0,5.247,0.0,13.5,biomass,p1,37.0,,0.0,0.0,0.0,0.0,1.0,0.0,False,0.0,0.0,0.0,0,0,1,0,1.0,1.0
p1 hydro,hydro,p1,4577.9,4577.9,False,,,1.0,0.010269276140516094,191402.56220005002,2050,inf,,inf,1.0,57.0,,,,hydro,p1,4577.9,,0.0,0.0,0.0,0.0,1.0,0.0,False,0.0,0.0,0.0,0,0,1,0,1.0,1.0
p1 onwind existing,onwind,p1,0.0,603.6,False,,,1.0,0.009547684423306151,25254.0,2010,30.0,,603.6,1.0,3172.0688175449286,,,,onwind,p1,603.6,,0.0,0.0,0.0,0.0,1.0,0.0,False,0.0,0.0,0.0,0,0,1,0,1.0,1.0
p1 solar existing,solar,p1,0.0,11.0,False,,,0.9999999999999999,0.00941223025742714,9317.72,2021,30.0,,11.0,0.9999999999999999,2817.313560600715,,,,solar,p1,11.0,,0.0,0.0,0.0,0.0,1.0,0.0,False,0.0,0.0,0.0,0,0,1,0,1.0,1.0
p10 biomass,biomass,p10,332.9,332.9,False,1.0,1.0,0.37256383298287776,0.692283673350574,412936.124,2001,30.0,,inf,1.0,59.0,5.247000000000001,0.0,13.5,biomass,p10,332.9,,0.0,0.0,0.0,0.0,1.0,0.0,False,0.0,0.0,0.0,0,0,1,0,1.0,1.0
p10 geothermal,geothermal,p10,1106.9,1106.8999999999999,False,1.0,1.0,0.35700000000000004,3.0870615807591224,404524.5140678801,1998,70.00000000000001,,inf,1.0000000000000002,52.0,,0.0,8.881,geothermal,p10,1106.8999999999999,,0.0,0.0,0.0,0.0,1.0,0.0,False,0.0,0.0,0.0,0,0,1,0,1.0,1.0
p10 hydro,hydro,p10,2622.61,2622.6099999999997,False,,,1.0000000000000002,0.010764552202393233,185763.67935136,2050,inf,,inf,1.0000000000000002,47.0,,,,hydro,p10,2622.6099999999997,,0.0,0.0,0.0,0.0,1.0,0.0,False,0.0,0.0,0.0,0,0,1,0,1.0,1.0
p10 offwind,offwind,p10,-0.002,0.0,True,,,1.0,0.010644607629447451,222080.39049,2050,30.0,,30.846831393176153,1.0,14.850191727401864,,,,offwind,p10,0.0012849885547154927,,0.0,0.0,0.0,0.0,1.0,0.0,False,0.0,0.0,0.0,0,0,1,0,1.0,1.0
p10 onwind existing,onwind,p10,0.0,4262.5,False,,,1.0,0.010419246457118196,25254.0,2009,30.0,,4262.5,1.0,2491.258156242507,,,,onwind,p10,4262.5,,0.0,0.0,0.0,0.0,1.0,0.0,False,0.0,0.0,0.0,0,0,1,0,1.0,1.0
p10 solar existing,solar,p10,0.0,18139.7,False,,,1.0,0.010918690450517793,9317.72,2018,30.0,,18139.7,1.0,18654.340217306108,,,,solar,p10,18139.7,,0.0,0.0,0.0,0.0,1.0,0.0,False,0.0,0.0,0.0,0,0,1,0,1.0,1.0
p100 biomass,biomass,p100,2.0,2.0,False,1.0,1.0,0.298,0.009845086706216116,412936.124,2010,30.0,,inf,1.0,2.0,5.247,,13.5,biomass,p100,2.0,,0.0,0.0,0.0,0.0,1.0,0.0,False,0.0,0.0,0.0,0,0,1,0,1.0,1.0
p100 hydro,hydro,p100,3.8524310278012677,3.8524310278012677,False,,,1.0,0.009490066077111352,179319.24180999998,2050,inf,,inf,1.0,3.0,,,,hydro,p100,3.8524310278012677,,0.0,0.0,0.0,0.0,1.0,0.0,False,0.0,0.0,0.0,0,0,1,0,1.0,1.0
p100 onwind,onwind,p100,-0.046,0.0,True,,,1.0,-12.910765203125617,102506.859,2050,30.0,,8241.929549768418,1.0,796.0557020262555,,,,onwind,p100,0.0009173289355938058,,0.0,0.0,0.0,0.0,1.0,0.0,False,0.0,0.0,0.0,0,0,1,0,1.0,1.0
p100 solar existing,solar,p100,0.0,218.9,False,,,1.0,0.0096021067164024,9317.72,2023,30.0,,218.9,1.0,248.64401588351575,,,,solar,p100,218.9,,0.0,0.0,0.0,0.0,1.0,0.0,False,0.0,0.0,0.0,0,0,1,0,1.0,1.0
p101 biomass,biomass,p101,445.2,445.20000000000005,False,1.0,1.0,0.30357681940700804,1.9457708509180753,412936.12399999995,1996,29.999999999999996,,inf,0.9999999999999999,40.0,5.247,0.0,13.5,biomass,p101,445.20000000000005,,0.0,0.0,0.0,0.0,1.0,0.0,False,0.0,0.0,0.0,0,0,1,0,1.0,1.0
p101 offwind,offwind,p101,-0.046,0.0,True,,,1.0,0.00918437219473674,222080.39049,2050,30.0,,136912.23034030022,1.0,53440.04796153446,,,,offwind,p101,0.0012323849803726541,,0.0,0.0,0.0,0.0,1.0,0.0,False,0.0,0.0,0.0,0,0,1,0,1.0,1.0
p101 onwind,onwind,p101,-0.9530000000000001,0.0,True,,,1.0,-12.909794135606585,102507.66962811122,2050,30.000000000000004,,136597.8943991618,1.0,19843.806603628196,,,,onwind,p101,0.003907830696586068,,0.0,0.0,0.0,0.0,1.0,0.0,False,0.0,0.0,0.0,0,0,1,0,1.0,1.0
p101 solar existing,solar,p101,0.0,7477.0,False,,,1.0,0.009728374899512894,9317.72,2021,29.999999999999996,,7477.0,1.0,23139.796172791757,,,,solar,p101,7477.0,,0.0,0.0,0.0,0.0,1.0,0.0,False,0.0,0.0,0.0,0,0,1,0,1.0,1.0
p101 waste,waste,p101,271.3,271.3,False,1.0,1.0,0.326,2.0381291406851925,0.0,1993,55.0,,inf,1.0,10.0,,0.0,,waste,p101,271.3,,0.0,0.0,0.0,0.0,1.0,0.0,False,0.0,0.0,0.0,0,0,1,0,1.0,1.0
p102 biomass,biomass,p102,146.5,146.5,False,1.0,1.0,0.3352641638225256,1.793745811373182,412936.12400000007,1999,30.0,,inf,1.0,10.0,5.247,0.0,13.5,biomass,p102,146.5,,0.0,0.0,0.0,0.0,1.0,0.0,False,0.0,0.0,0.0,0,0,1,0,1.0,1.0
p102 nuclear existing,nuclear,p102,0.0,1637.2,True,0.325,0.325,0.326,13.081553811719305,127750.0,1972,60.0,,1637.2,1.0,2.0,2.8,0.71,10.497,nuclear,p102,-0.0,,0.0,0.0,0.0,0.0,1.0,0.0,False,0.0,0.0,0.0,0,0,1,0,1.0,1.0
p102 offwind,offwind,p102,-0.012,0.0,True,,,1.0,0.00943101089455132,222080.39049,2050,30.0,,10663.364339359629,1.0,4138.809855012814,,,,offwind,p102,0.0010176303212883972,,0.0,0.0,0.0,0.0,1.0,0.0,False,0.0,0.0,0.0,0,0,1,0,1.0,1.0
p102 onwind,onwind,p102,-0.359,0.0,True,,,1.0,-12.910443952812512,102506.859,2050,30.0,,14606.072558073613,1.0,2631.194795370787,,,,onwind,p102,0.015917155011476503,,0.0,0.0,0.0,0.0,1.0,0.0,False,0.0,0.0,0.0,0,0,1,0,1.0,1.0
p102 solar existing,solar,p102,0.0,2099.3,False,,,0.9999999999999999,0.010483520844289754,9317.72,2021,29.999999999999996,,2099.3,0.9999999999999999,7864.291066554522,,,,solar,p102,2099.3,,0.0,0.0,0.0,0.0,1.0,0.0,False,0.0,0.0,0.0,0,0,1,0,1.0,1.0
p102 waste,waste,p102,224.3,224.3,False,1.0,1.0,0.32599999999999996,2.038119475791289,0.0,2000,55.0,,inf,0.9999999999999998,3.0,,0.0,,waste,p102,224.3,,0.0,0.0,0.0,0.0,1.0,0.0,False,0.0,0.0,0.0,0,0,1,0,1.0,1.0
p103 biomass,biomass,p103,309.3,309.29999999999995,False,1.0,1.0,0.3283423860329778,1.1363511471225334,412936.1240000001,2001,30.000000000000007,,inf,1.0000000000000002,100.0,5.247,0.0,13.5,biomass,p103,309.29999999999995,,0.0,0.0,0.0,0.0,1.0,0.0,False,0.0,0.0,0.0,0,0,1,0,1.0,1.0
p103 hydro,hydro,p103,2312.339634441194,2312.3396344411944,False,,,0.9999999999999998,0.010085977565090387,179319.24180999995,2050,inf,,inf,0.9999999999999998,78.0,,,,hydro,p103,2312.3396344411944,,0.0,0.0,0.0,0.0,1.0,0.0,False,0.0,0.0,0.0,0,0,1,0,1.0,1.0
p103 nuclear existing,nuclear,p103,0.0,1217.0,True,0.325,0.325,0.316,13.306587969405717,127750.0,1988,60.0,,1217.0,1.0,1.0,2.8,0.71,10.497,nuclear,p103,-0.0,,0.0,0.0,0.0,0.0,1.0,0.0,False,0.0,0.0,0.0,0,0,1,0,1.0,1.0
p103 onwind existing,onwind,p103,0.0,3498.5,False,,,1.0,0.010824264242955258,25254.0,2016,30.0,,3498.5,1.0,40750.65109699862,,,,onwind,p103,3498.5,,0.0,0.0,0.0,0.0,1.0,0.0,False,0.0,0.0,0.0,0,0,1,0,1.0,1.0
