StorageUnit,carrier,bus,p_nom,p_nom_max,capital_cost,max_hours,efficiency_store,efficiency_dispatch,cyclic_state_of_charge,control,p_min_pu,p_max_pu,p_nom_extendable,build_year,lifetime,marginal_cost,p_nom_opt,type,p_nom_mod,p_nom_min,p_set,q_set,sign,spill_cost,marginal_cost_quadratic,marginal_cost_storage,state_of_charge_initial,state_of_charge_initial_per_period,state_of_charge_set,cyclic_state_of_charge_per_period,standing_loss,inflow
p1 battery,battery,p1,3.0,3.0,22481.0,1.9333333333333333,0.9219544457292888,0.9219544457292888,True,,-1.0,1.0,False,0,inf,0.009303459900112424,3.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,False,,True,0.0,0.0
p10 battery,battery,p10,9762.3,9762.3,22481.000000000004,3.4165206969669035,0.9219544457292888,0.9219544457292888,True,,-1.0,1.0,False,0,inf,0.009597158368743437,9762.3,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,False,,True,0.0,0.0
p101 battery,battery,p101,615.2,615.2,22481.0,2.24203511053316,0.9219544457292888,0.9219544457292888,True,,-0.9999999999999999,0.9999999999999999,False,0,inf,0.01088361392883251,615.2,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,False,,True,0.0,0.0
p102 battery,battery,p102,10.0,10.0,22481.0,4.0,0.9219544457292888,0.9219544457292888,True,,-1.0,1.0,False,0,inf,0.010817683592256662,10.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,False,,True,0.0,0.0
p103 battery,battery,p103,234.3,234.3,22481.0,3.9970123772940673,0.9219544457292888,0.9219544457292888,True,,-1.0,1.0,False,0,inf,0.009324001681623922,234.3,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,False,,True,0.0,0.0
p104 battery,battery,p104,1.1,1.1,22481.0,0.9090909090909091,0.9219544457292888,0.9219544457292888,True,,-1.0,1.0,False,0,inf,0.010962235546554957,1.1,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,False,,True,0.0,0.0
p105 battery,battery,p105,101.3,101.3,22481.0,3.998025666337611,0.9219544457292888,0.9219544457292888,True,,-1.0,1.0,False,0,inf,0.010501495050258842,101.3,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,False,,True,0.0,0.0
p106 battery,battery,p106,20.0,20.0,22481.0,1.0,0.9219544457292888,0.9219544457292888,True,,-1.0,1.0,False,0,inf,0.010079954165865195,20.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,False,,True,0.0,0.0
p107 battery,battery,p107,216.0,216.0,22481.0,4.150925925925926,0.9219544457292888,0.9219544457292888,True,,-1.0,1.0,False,0,inf,0.010863405765922972,216.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,False,,True,0.0,0.0
p11 battery,battery,p11,816.3,816.3,22481.0,2.8365796888398873,0.9219544457292888,0.9219544457292888,True,,-1.0,1.0,False,0,inf,0.010761214284353187,816.3,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,False,,True,0.0,0.0
p111 battery,battery,p111,12.0,12.0,22481.0,1.0,0.9219544457292888,0.9219544457292888,True,,-1.0,1.0,False,0,inf,0.009782632985034515,12.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,False,,True,0.0,0.0
p112 battery,battery,p112,0.8,0.8,22481.0,4.25,0.9219544457292888,0.9219544457292888,True,,-1.0,1.0,False,0,inf,0.010312686391958864,0.8,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,False,,True,0.0,0.0
p113 battery,battery,p113,10.0,10.0,22481.0,0.41,0.9219544457292888,0.9219544457292888,True,,-1.0,1.0,False,0,inf,0.010294770291146687,10.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,False,,True,0.0,0.0
p114 battery,battery,p114,10.0,10.0,22481.0,0.38,0.9219544457292888,0.9219544457292888,True,,-1.0,1.0,False,0,inf,0.00965393637164593,10.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,False,,True,0.0,0.0
p116 battery,battery,p116,47.5,47.5,22481.0,0.6,0.9219544457292888,0.9219544457292888,True,,-1.0,1.0,False,0,inf,0.009358780349309332,47.5,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,False,,True,0.0,0.0
p12 battery,battery,p12,60.0,60.0,22481.0,2.75,0.9219544457292888,0.9219544457292888,True,,-1.0,1.0,False,0,inf,0.009933619754923958,60.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,False,,True,0.0,0.0
p121 battery,battery,p121,6.0,6.0,22481.0,1.0,0.9219544457292888,0.9219544457292888,True,,-1.0,1.0,False,0,inf,0.009526562072613319,6.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,False,,True,0.0,0.0
p122 battery,battery,p122,54.6,54.6,22481.0,0.8919413919413919,0.9219544457292888,0.9219544457292888,True,,-1.0,1.0,False,0,inf,0.009710130252732806,54.6,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,False,,True,0.0,0.0
p123 battery,battery,p123,2.7,2.7,22480.999999999996,2.481481481481481,0.9219544457292888,0.9219544457292888,True,,-0.9999999999999999,0.9999999999999999,False,0,inf,0.010908287937796919,2.7,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,False,,True,0.0,0.0
p126 battery,battery,p126,109.2,109.2,22480.999999999996,0.9899267399267399,0.9219544457292888,0.9219544457292888,True,,-1.0,1.0,False,0,inf,0.00992227574106434,109.2,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,False,,True,0.0,0.0
p127 battery,battery,p127,249.5,249.5,22480.999999999996,2.591983967935872,0.9219544457292888,0.9219544457292888,True,,-1.0,1.0,False,0,inf,0.01036978293095318,249.5,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,False,,True,0.0,0.0
p128 battery,battery,p128,10.0,10.0,22481.0,8.0,0.9219544457292888,0.9219544457292888,True,,-1.0,1.0,False,0,inf,0.009672459789535308,10.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,False,,True,0.0,0.0
p129 battery,battery,p129,20.9,20.9,22481.0,2.550239234449761,0.9219544457292888,0.9219544457292888,True,,-1.0,1.0,False,0,inf,0.010991722156901544,20.9,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,False,,True,0.0,0.0
p13 battery,battery,p13,1494.0,1494.0,22481.0,2.678045515394913,0.9219544457292888,0.9219544457292888,True,,-1.0,1.0,False,0,inf,0.010317535212083334,1494.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,False,,True,0.0,0.0
p130 battery,battery,p130,14.0,14.0,22481.0,1.0,0.9219544457292888,0.9219544457292888,True,,-1.0,1.0,False,0,inf,0.009392018931491167,14.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,False,,True,0.0,0.0
p131 battery,battery,p131,295.9,295.9,22481.0,2.4741466711726936,0.9219544457292888,0.9219544457292888,True,,-1.0,1.0,False,0,inf,0.009196367997242934,295.9,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,False,,True,0.0,0.0
p132 battery,battery,p132,21.6,21.6,22480.999999999993,2.606481481481481,0.9219544457292888,0.9219544457292888,True,,-0.9999999999999998,0.9999999999999998,False,0,inf,0.010886361142354166,21.6,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,False,,True,0.0,0.0
p133 battery,battery,p133,3.0,3.0,22481.0,3.3333333333333335,0.9219544457292888,0.9219544457292888,True,,-1.0,1.0,False,0,inf,0.010889555664421255,3.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,False,,True,0.0,0.0
p134 battery,battery,p134,237.3,237.3,22481.0,1.9178255372945638,0.9219544457292888,0.9219544457292888,True,,-1.0,1.0,False,0,inf,0.010242656750855863,237.3,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,False,,True,0.0,0.0
p15 battery,battery,p15,315.0,315.0,22481.0,4.0,0.9219544457292888,0.9219544457292888,True,,-1.0,1.0,False,0,inf,0.009033982998692486,315.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,False,,True,0.0,0.0
p16 battery,battery,p16,162.0,162.0,22481.0,2.9876543209876543,0.9219544457292888,0.9219544457292888,True,,-1.0,1.0,False,0,inf,0.009451069768552976,162.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,False,,True,0.0,0.0
p2 battery,battery,p2,1.0,1.0,22481.0,4.0,0.9219544457292888,0.9219544457292888,True,,-1.0,1.0,False,0,inf,0.010602553568237052,1.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,False,,True,0.0,0.0
p25 battery,battery,p25,525.0,525.0,22481.0,4.0,0.9219544457292888,0.9219544457292888,True,,-1.0,1.0,False,0,inf,0.010750919658626075,525.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,False,,True,0.0,0.0
p27 battery,battery,p27,30.0,30.0,22481.0,4.0,0.9219544457292888,0.9219544457292888,True,,-1.0,1.0,False,0,inf,0.009907979628825307,30.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,False,,True,0.0,0.0
p28 battery,battery,p28,3573.8,3573.8,22481.0,3.6004532990094575,0.9219544457292888,0.9219544457292888,True,,-1.0,1.0,False,0,inf,0.00973104123655489,3573.8,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,False,,True,0.0,0.0
p30 battery,battery,p30,50.0,50.0,22481.0,1.45,0.9219544457292888,0.9219544457292888,True,,-1.0,1.0,False,0,inf,0.009548450022916091,50.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,False,,True,0.0,0.0
p31 battery,battery,p31,739.0,739.0,22481.0,4.4913396481732075,0.9219544457292888,0.9219544457292888,True,,-1.0,1.0,False,0,inf,0.00923394102753275,739.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,False,,True,0.0,0.0
p33 battery,battery,p33,112.60000000000001,112.60000000000001,22481.0,3.453818827708703,0.9219544457292888,0.9219544457292888,True,,-0.9999999999999999,0.9999999999999999,False,0,inf,0.009231489071898195,112.60000000000001,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,False,,True,0.0,0.0
p34 battery,battery,p34,229.2,229.2,22481.0,3.9637870855148343,0.9219544457292888,0.9219544457292888,True,,-1.0,1.0,False,0,inf,0.010905205396815928,229.2,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,False,,True,0.0,0.0
p38 battery,battery,p38,0.8,0.8,22481.0,1.0,0.9219544457292888,0.9219544457292888,True,,-1.0,1.0,False,0,inf,0.010617252229451,0.8,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,False,,True,0.0,0.0
p40 battery,battery,p40,3.6,3.6,22481.0,1.4166666666666665,0.9219544457292888,0.9219544457292888,True,,-1.0,1.0,False,0,inf,0.009329558721178986,3.6,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,False,,True,0.0,0.0
p41 battery,battery,p41,2.4,2.4,22481.0,3.5,0.9219544457292888,0.9219544457292888,True,,-1.0,1.0,False,0,inf,0.009414100099767866,2.4,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,False,,True,0.0,0.0
p43 battery,battery,p43,16.0,16.0,22481.0,2.0625,0.9219544457292888,0.9219544457292888,True,,-1.0,1.0,False,0,inf,0.010311103101320853,16.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,False,,True,0.0,0.0
p44 battery,battery,p44,5.0,5.0,22481.0,6.12,0.9219544457292888,0.9219544457292888,True,,-1.0,1.0,False,0,inf,0.010529328430367262,5.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,False,,True,0.0,0.0
p48 battery,battery,p48,200.0,200.0,22481.0,1.0,0.9219544457292888,0.9219544457292888,True,,-1.0,1.0,False,0,inf,0.010620629690520895,200.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,False,,True,0.0,0.0
p5 battery,battery,p5,542.5,542.5,22481.0,3.823963133640553,0.9219544457292888,0.9219544457292888,True,,-1.0,1.0,False,0,inf,0.009326675382672766,542.5,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,False,,True,0.0,0.0
p50 battery,battery,p50,10.0,10.0,22481.0,2.0,0.9219544457292888,0.9219544457292888,True,,-1.0,1.0,False,0,inf,0.010968256576047395,10.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,False,,True,0.0,0.0
p56 battery,battery,p56,12.0,12.0,22481.0,2.183333333333333,0.9219544457292888,0.9219544457292888,True,,-1.0,1.0,False,0,inf,0.009455604131630053,12.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,False,,True,0.0,0.0
p6 battery,battery,p6,2.0,2.0,22481.0,4.0,0.9219544457292888,0.9219544457292888,True,,-1.0,1.0,False,0,inf,0.010178830866261394,2.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,False,,True,0.0,0.0
p60 battery,battery,p60,1141.3,1141.3,22481.000000000004,1.557784982038027,0.9219544457292888,0.9219544457292888,True,,-1.0,1.0,False,0,inf,0.01017523151063762,1141.3,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,False,,True,0.0,0.0
